0: [25107.00, 25203.00, 25391.00, 25290.00, 25230.00, 25153.00, 25191.00, 25294.00, 25376.00, 25234.00, 25150.00, 25120.00, 25240.00, 25321.00, 25248.00, 25171.00]
1: [21.98, 17.25, 31.28, 34.14, 8.99, 48.57, 10.94, 44.34, 33.38, 29.22, 17.70, 40.77, 31.35, 10.89, 25.16, 40.48]
2: [53.50, 12.58, 44.22, 41.56, 28.33, 21.90, 27.39, 1.99, 67.89, 13.37, 11.81, 23.81, 16.91, 37.16, 25.30, 15.95]
3: [17.57, 44.84, 24.34, 23.35, 30.96, 56.45, 24.15, 22.46, 38.27, 30.38, 4.80, 11.04, 35.19, 9.84, 36.74, 35.24]
4: [34.47, 36.57, 1.13, 22.84, 21.63, 19.35, 25.30, 34.69, 28.06, 50.51, 24.53, 51.20, 55.51, 35.26, 29.00, 11.86]
5: [17.27, 28.49, 1.50, 43.10, 38.35, 36.97, 47.75, 5.07, 30.65, 12.98, 25.41, 68.44, 34.77, 28.54, 16.55, 15.61]
6: [40.65, 9.36, 43.33, 17.95, 11.36, 29.62, 23.96, 13.80, 13.36, 24.72, 38.53, 8.44, 33.06, 43.47, 29.65, 14.86]
7: [57.97, 19.85, 31.00, 26.48, 45.69, 21.12, 9.46, 18.89, 28.05, 37.71, 47.16, 3.24, 15.55, 28.80, 39.03, 30.03]
8: [15.19, 34.52, 19.84, 42.98, 52.80, 23.84, 13.46, 23.42, 47.14, 18.91, 24.68, 6.37, 22.48, 16.28, 38.98, 28.67]
9: [88.38, 24.03, 18.29, 35.21, 28.67, 25.39, 49.72, 39.65, 39.75, 33.22, 59.54, 23.09, 19.06, 49.74, 29.26, 13.55]
10: [12.97, 40.71, 17.72, 5.46, 18.19, 14.45, 7.56, 39.87, 48.83, 41.80, 18.10, 9.91, 10.60, 45.43, 14.57, 43.31]
11: [40.63, 26.88, 78.38, 31.20, 31.79, 29.49, 18.81, 45.63, 59.72, 24.14, 45.44, 4.66, 22.35, 9.41, 26.99, 13.58]
12: [26.95, 28.93, 14.40, 50.79, 21.54, 15.89, 20.29, 37.54, 29.69, 8.28, 12.16, 29.27, 14.32, 23.83, 27.80, 20.07]
13: [32.77, 13.52, 11.19, 51.59, 18.12, 14.74, 19.89, 39.16, 18.65, 30.76, 17.43, 34.71, 28.67, 29.70, 22.26, 40.26]
14: [31.02, 32.32, 33.53, 31.99, 37.52, 33.87, 24.78, 21.36, 71.39, 20.13, 15.48, 29.46, 50.43, 34.03, 20.93, 9.58]
15: [16.40, 58.43, 48.33, 40.35, 10.38, 19.85, 42.90, 34.30, 36.19, 23.21, 38.88, 32.25, 27.03, 14.08, 39.51, 35.76]
16: [84.74, 11.18, 41.43, 20.82, 65.23, 16.97, 37.05, 41.33, 29.08, 41.61, 13.03, 11.20, 50.65, 21.49, 28.84, 49.20]
17: [27.24, 12.31, 59.93, 18.61, 5.89, 21.53, 38.23, 14.71, 54.99, 5.59, 18.35, 43.38, 35.17, 40.16, 13.38, 13.67]
